sample_name,Antonia,Dafna
S001,6.0,3.0
S002,4.0,2.0
S003,6.0,2.0
S004,5.0,2.0
S005,6.0,4.0
S006,4.0,2.0
S007,1.0,5.0
S009,2.0,3.0
S011,3.0,5.0
S012,3.0,1.0
S013,2.0,4.0
S015,4.0,2.0
S016,5.0,5.0
S017,5.0,2.0
S018,3.0,3.0
S019,2.0,5.0
S020,3.0,2.0
S021,4.0,3.0
S024,7.0,1.0
S025,5.0,2.0
S027,4.0,2.0
S028,2.0,5.0
S029,5.0,4.0
S030,4.0,3.0
S032,4.0,2.0
S033,2.0,5.0
S034,4.0,3.0
S035,2.0,5.0
S036,5.0,3.0
S038,3.0,1.0
S039,7.0,3.0
S040,1.0,2.0
S041,7.0,2.0
S043,7.0,3.0
S048,4.0,4.0
S049,3.0,3.0
S051,4.0,5.0
S052,7.0,1.0
S055,5.0,2.0
S056,3.0,3.0
S058,4.0,5.0
S059,6.0,4.0
S061,5.0,2.0
S062,6.0,2.0
S063,3.0,1.0
S064,2.0,5.0
S067,3.0,6.0
S068,2.0,4.0
S070,2.0,5.0
S071,2.0,2.0
S072,4.0,3.0
S073,1.0,3.0
S076,3.0,1.0
S077,6.0,3.0
S079,2.0,6.0
S080,1.0,6.0
S081,6.0,6.0
S082,2.0,7.0
S083,4.0,3.0
S084,4.0,4.0
S086,1.0,5.0
S087,1.0,7.0
S089,1.0,5.0
S090,1.0,6.0
S092,2.0,5.0
S093,4.0,2.0
S094,4.0,6.0
S095,4.0,3.0
S096,1.0,6.0
S097,6.0,5.0
S100,1.0,7.0
S101,1.0,7.0
S103,1.0,6.0
S104,7.0,2.0
S107,1.0,7.0
S108,1.0,7.0
S110,3.0,4.0
S111,1.0,7.0
S114,2.0,3.0
S116,1.0,5.0
S118,2.0,7.0
S122,4.0,3.0
S124,2.0,6.0
S125,1.0,5.0
S126,1.0,7.0
S127,2.0,3.0
S128,3.0,5.0
S129,2.0,2.0
S130,1.0,5.0
S132,2.0,7.0
S135,1.0,7.0
S136,2.0,5.0
S137,3.0,4.0
S138,1.0,6.0
S139,2.0,5.0
S140,2.0,5.0
S141,4.0,5.0
S142,3.0,4.0
S143,4.0,3.0
S144,2.0,6.0
S145,1.0,5.0
S148,1.0,7.0
S149,1.0,6.0
S150,2.0,2.0
S151,1.0,5.0
S153,2.0,5.0
S154,2.0,5.0
S156,2.0,4.0
S160,4.0,4.0
S161,3.0,3.0
S162,3.0,4.0
S163,7.0,3.0
S164,2.0,5.0
S165,1.0,5.0
S166,7.0,3.0
S167,2.0,6.0
S168,3.0,3.0
S169,2.0,3.0
S170,3.0,2.0
S171,1.0,6.0
S172,5.0,2.0
S173,3.0,3.0
S174,7.0,5.0
S175,3.0,2.0
S176,2.0,7.0
S177,4.0,3.0
S178,3.0,3.0
S179,1.0,7.0
S180,3.0,3.0
S181,2.0,2.0
S182,2.0,7.0
S183,4.0,4.0
S184,6.0,1.0
S185,4.0,6.0
S186,5.0,2.0
S187,2.0,7.0
S188,1.0,6.0
S189,5.0,6.0
S190,1.0,7.0
S191,2.0,7.0
S192,1.0,6.0
S193,3.0,5.0
S194,2.0,5.0
S195,2.0,3.0
S196,5.0,2.0
S197,4.0,3.0
S198,2.0,5.0
S199,4.0,1.0
S200,3.0,3.0
S201,2.0,2.0
S202,3.0,6.0
S203,2.0,6.0
S204,3.0,1.0
S205,3.0,5.0
S206,7.0,2.0
S207,2.0,5.0
